CLIENTID,RECORDTIME,RMSSD,U10,V10,U100,V100
9,20120101 1:00,0,1.903254255,-1.495001741,2.516722991,-2.078062997
9,20120101 2:00,0,2.173296233,-0.643641034,2.837109044,-1.006913674
9,20120101 3:00,0,2.31274414,0.136595493,3.034095521,-0.015490402
9,20120101 4:00,0,2.21756541,0.797156001,2.941828867,0.823531372
9,20120101 5:00,0,1.900598105,1.285655617,2.559176973,1.471102152
9,20120101 6:00,0,1.298537302,2.224324451,1.785382389,2.767328421
9,20120101 7:00,0,0.139570256,3.82568326,0.122884442,5.806680727
9,20120101 8:00,0,-0.544388525,3.941952131,-1.044883097,6.407609056
9,20120101 9:00,0,-0.624515734,2.727730332,-1.622257257,5.764919463
9,20120101 10:00,0.224706034,-0.789639764,2.292041486,-2.620208867,5.649398042
9,20120101 11:00,0.296033079,-1.902124174,1.308653855,-5.327640831,3.101960893
9,20120101 12:00,0.212301331,-2.123470058,0.121689227,-5.632177398,0.302871448
9,20120101 13:00,0.194211138,-1.965429097,-0.428139024,-5.301036336,-0.959728868
9,20120101 14:00,0.094973511,-1.816684663,-0.943044024,-5.046312442,-2.143145487
9,20120101 15:00,0,-1.681220982,-1.255223813,-4.770078531,-2.91708477
9,20120101 16:00,0,-1.41250708,-1.511185686,-4.142891699,-3.913931583
9,20120101 17:00,0,-0.829924714,-2.083586282,-2.130006885,-5.967284158
9,20120101 18:00,0,-0.275674622,-2.872340674,-0.171463168,-7.809118639
9,20120101 19:00,0,0.333026558,-3.724979062,1.278764867,-8.824405491
9,20120101 20:00,0,0.930217751,-4.141076816,2.449362672,-9.070634247
9,20120101 21:00,0,1.169713997,-4.377873491,2.619178601,-8.553228447
9,20120101 22:00,0,1.056827597,-4.48093967,2.398983946,-8.400826949
9,20120101 23:00,0,1.440198667,-5.156406444,2.384832619,-7.857388153
9,20120102 0:00,0,1.835965107,-5.291840513,2.865977752,-7.779831518
9,20120102 1:00,0,2.805103301,-5.96604724,4.226548961,-8.602750524
9,20120102 2:00,0,3.569628703,-5.630260738,5.277137058,-8.06472266
9,20120102 3:00,0,3.803121085,-5.199743537,5.576046985,-7.447998183
9,20120102 4:00,0,3.841631113,-4.89440619,5.692088274,-7.067898895
9,20120102 5:00,0,3.683537313,-4.592452082,5.5812274,-6.756859901
9,20120102 6:00,0,3.306544405,-3.857020437,5.630441339,-6.367659645
9,20120102 7:00,0,1.393609425,-2.394192343,3.506989361,-5.297492778
9,20120102 8:00,0,2.182456951,-1.592364627,5.452753116,-3.762105798
9,20120102 9:00,0,3.000896392,0.949293901,7.286101871,2.204917661
9,20120102 10:00,0,1.73695673,1.771421052,4.623886767,4.162161315
9,20120102 11:00,0,1.539947533,2.385056081,3.665510051,5.26070179
9,20120102 12:00,0,0.922165607,1.742240613,2.546022438,4.368806843
9,20120102 13:00,0,1.041749378,1.683879735,2.361081634,3.867182854
9,20120102 14:00,0,1.169845893,1.619175283,2.110867605,3.044348199
9,20120102 15:00,0,0.518012995,1.249979294,0.899686652,1.887989804
9,20120102 16:00,0,1.014589674,0.666370514,1.021944439,1.466133131
9,20120102 17:00,0,1.386718157,0.530618037,1.202740911,1.637980836
9,20120102 18:00,0,1.004860825,0.840607338,0.512709675,1.907797795
9,20120102 19:00,0,0.446262732,0.580097912,-0.260208195,1.467203833
9,20120102 20:00,0,0.303572943,0.333967252,-0.054027691,1.327477193
9,20120102 21:00,0,-1.296012018,-0.482662135,-2.157276051,0.409350042
